,GDP,CPI,Interest,Net Income Margin,Diluted EPS,Current Ratio,Cash Conversion Cycle,Debt to Equity,Volume,Unemployment,MA30,MA7,RSI,ADX,ATR,OBV,Walmart,S&P500
2016-06-15,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,27199200.0,4.9,19.7874787012736,20.06854111807687,58.37937009357464,22.66803639350826,0.0889679607019797,142301400.0,20.09154319763184,2071.5
2016-06-16,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,24051000.0,4.9,19.83550408681234,20.06208338056292,60.038757548718216,22.48454077187576,0.0860436091214253,166352400.0,20.142393112182617,2077.989990234375
2016-06-17,0.0407173937558917,0.0107928653479594,0.38,2.66,0.33,0.8409,11.8833,0.5951156151135575,20115600.0,4.9,19.89388771057129,20.07055800301688,61.77639780360757,22.56251875630669,0.0835297737949507,186468000.0,20.043516159057617,2071.219970703125
2016-06-18,0.0407173937558917,0.0107928653479594,0.38,2.66,0.33,0.8409,11.8833,0.5951156151135575,54177900.0,4.9,19.967338180541997,20.062889916556223,56.62071960472391,21.89771900706361,0.0846260008899543,132290100.0,20.043516159057617,2071.219970703125
2016-06-19,0.0407173937558917,0.0107928653479594,0.38,2.66,0.33,0.8409,11.8833,0.5951156151135575,54177900.0,4.9,19.98381741841634,20.055221830095565,56.62071960472391,21.28040495419504,0.0785812865406718,132290100.0,20.043516159057617,2071.219970703125
2016-06-20,0.0407173937558917,0.0107928653479594,0.38,2.66,0.33,0.8409,11.8833,0.5951156151135575,54177900.0,4.9,19.994081497192383,20.047553743634904,56.62071960472391,20.70718476224565,0.0729683375020524,132290100.0,20.08589744567871,2083.25
2016-06-21,0.0407173937558917,0.0107928653479594,0.38,2.66,0.33,0.8409,11.8833,0.5951156151135575,21427500.0,4.9,20.00575828552246,20.070556913103378,58.475942588646255,20.440085179459054,0.0707835481534125,153717600.0,20.187597274780277,2088.89990234375
2016-06-22,0.0407173937558917,0.0107928653479594,0.38,2.66,0.33,0.8409,11.8833,0.5951156151135575,20024400.0,4.9,20.02082506815593,20.091139929635183,62.60848743993716,20.782689403803037,0.0729918539354232,173742000.0,20.2695255279541,2085.449951171875
2016-06-23,0.0407173937558917,0.0107928653479594,0.38,2.66,0.33,0.8409,11.8833,0.5951156151135575,25372500.0,4.9,20.042012850443523,20.11656597682408,65.58031017417679,21.525504971381363,0.0736301681667378,199114500.0,20.368392944335938,2113.320068359375
2016-06-24,0.0407173937558917,0.0107928653479594,0.39,2.66,0.33,0.8409,11.8833,0.5951156151135575,20910600.0,4.9,20.05952784220377,20.148851667131694,68.80265273659295,22.67569702014038,0.0754328287535305,220025100.0,20.32884979248047,2037.4100341796875
2016-06-25,0.0407173937558917,0.0107928653479594,0.4,2.66,0.33,0.8409,11.8833,0.5951156151135575,45361200.0,4.9,20.07346471150716,20.18961361476353,66.1357698214893,23.362491832702236,0.072869280403669,174663900.0,20.32884979248047,2037.4100341796875
2016-06-26,0.0407173937558917,0.0107928653479594,0.4,2.66,0.33,0.8409,11.8833,0.5951156151135575,45361200.0,4.9,20.0839173634847,20.23037556239537,66.1357698214893,24.00022987293824,0.0676643318034069,174663900.0,20.32884979248047,2037.4100341796875
2016-06-27,0.0407173937558917,0.0107928653479594,0.4,2.66,0.33,0.8409,11.8833,0.5951156151135575,45361200.0,4.9,20.09531173706055,20.27113751002721,66.1357698214893,24.59241519601453,0.0628311652460207,174663900.0,20.19889259338379,2000.5400390625
2016-06-28,0.0407173937558917,0.0107928653479594,0.41,2.66,0.33,0.8409,11.8833,0.5951156151135575,33910200.0,4.9,20.10237420399984,20.287279673985072,57.05765277272808,23.844668889653487,0.0676258819496392,140753700.0,20.20171356201172,2036.0899658203125
2016-06-29,0.0407173937558917,0.0107928653479594,0.41,2.66,0.33,0.8409,11.8833,0.5951156151135575,25683600.0,4.9,20.109530703226724,20.289296286446707,57.195005222712055,23.16996142388756,0.0629969595695171,166437300.0,20.470102310180664,2070.77001953125
2016-06-30,0.0407173937558917,0.0107928653479594,0.41,2.66,0.33,0.8409,11.8833,0.5951156151135575,21044100.0,4.9,20.125633494059244,20.317950112479075,67.76049671814262,24.05314657707112,0.0776678016123334,187481400.0,20.6283016204834,2098.860107421875
2016-07-01,0.0407173937558917,0.0107928653479594,0.3,2.66,0.33,0.8409,11.8833,0.5951156151135575,26140800.0,4.9,20.14672705332438,20.355079923357284,72.12760976929863,25.49716696934779,0.0834200522330763,213622200.0,20.56897354125977,2102.949951171875
2016-07-02,0.0392435440708285,0.0086836334305182,0.41,2.66,0.33,0.8409,11.8833,0.5951156151135575,22916400.0,4.8,20.16847953796387,20.38938331604004,68.38636601626695,26.303382535029293,0.0816991970181161,190705800.0,20.56897354125977,2102.949951171875
2016-07-03,0.0392435440708285,0.0086836334305182,0.41,2.66,0.33,0.8409,11.8833,0.5951156151135575,22916400.0,4.8,20.185994784037277,20.423686708722794,68.38636601626695,27.052011274590683,0.0758635400882506,190705800.0,20.56897354125977,2102.949951171875
2016-07-04,0.0392435440708285,0.0086836334305182,0.41,2.66,0.33,0.8409,11.8833,0.5951156151135575,22916400.0,4.8,20.204263242085776,20.457990101405557,68.38636601626695,27.74716653275483,0.0704447157962327,190705800.0,20.56897354125977,2102.949951171875
2016-07-05,0.0392435440708285,0.0086836334305182,0.41,2.66,0.33,0.8409,11.8833,0.5951156151135575,22916400.0,4.8,20.22253170013428,20.51085880824498,68.38636601626695,28.39266784390725,0.0654129503822161,190705800.0,20.66219711303711,2088.550048828125
2016-07-06,0.0392435440708285,0.0086836334305182,0.4,2.66,0.33,0.8409,11.8833,0.5951156151135575,32245800.0,4.8,20.24390761057536,20.57664217267717,71.5096821376628,29.438277768004657,0.0673994233390109,222951600.0,20.85430145263672,2099.72998046875
2016-07-07,0.0392435440708285,0.0086836334305182,0.4,2.66,0.33,0.8409,11.8833,0.5951156151135575,33188100.0,4.8,20.26999193827311,20.631527764456614,76.63289647060326,31.14108308629447,0.0763069173576251,256139700.0,20.77237319946289,2097.89990234375
2016-07-08,0.0392435440708285,0.0086836334305182,0.4,2.66,0.33,0.8409,11.8833,0.5951156151135575,23378400.0,4.8,20.29353370666504,20.65210941859654,70.78664163732662,31.88686200050713,0.0767084413444968,232761300.0,20.85995101928711,2129.89990234375
2016-07-09,0.0392435440708285,0.0086836334305182,0.4,2.66,0.33,0.8409,11.8833,0.5951156151135575,27382800.0,4.8,20.31764049530029,20.693677629743306,73.14511470232758,32.91630265788741,0.0774848255216198,260144100.0,20.85995101928711,2129.89990234375
2016-07-10,0.0392435440708285,0.0086836334305182,0.4,2.66,0.33,0.8409,11.8833,0.5951156151135575,27382800.0,4.8,20.3435365041097,20.735245840890062,73.14511470232758,33.87221183974053,0.0719501951272183,260144100.0,20.85995101928711,2129.89990234375
